"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2019","0.080","0.070","0.080","0.070","57.05K","6.67%"
"Apr 23, 2019","0.075","0.080","0.080","0.075","30.00K","-11.76%"
"Apr 22, 2019","0.085","0.080","0.085","0.080","646.00K","6.25%"
"Apr 18, 2019","0.080","0.080","0.080","0.080","2.00K","0.00%"
"Apr 17, 2019","0.080","0.080","0.080","0.075","35.00K","0.00%"
"Apr 16, 2019","0.080","0.075","0.080","0.070","132.50K","6.67%"
"Apr 15, 2019","0.075","0.070","0.075","0.070","46.23K","0.00%"
"Apr 11, 2019","0.075","0.075","0.075","0.070","102.00K","-6.25%"
"Apr 10, 2019","0.080","0.090","0.090","0.080","77.25K","-5.88%"
"Apr 09, 2019","0.085","0.080","0.085","0.080","30.50K","13.33%"
"Apr 08, 2019","0.075","0.080","0.080","0.075","33.34K","-6.25%"
"Apr 05, 2019","0.080","0.075","0.080","0.075","25.95K","6.67%"
"Apr 04, 2019","0.075","0.080","0.080","0.075","3.00K","0.00%"
"Apr 03, 2019","0.075","0.075","0.080","0.075","47.94K","-6.25%"
"Apr 02, 2019","0.080","0.075","0.080","0.075","28.05K","6.67%"
"Apr 01, 2019","0.075","0.085","0.085","0.075","79.15K","-6.25%"
"Mar 29, 2019","0.080","0.080","0.080","0.080","12.00K","0.00%"
"Mar 28, 2019","0.080","0.080","0.080","0.080","29.00K","0.00%"
"Mar 27, 2019","0.080","0.090","0.090","0.080","7.72K","-11.11%"
"Mar 26, 2019","0.090","0.080","0.090","0.080","5.60K","12.50%"
"Mar 25, 2019","0.080","0.080","0.080","0.080","23.96K","-5.88%"
"Mar 22, 2019","0.085","0.090","0.090","0.080","31.90K","-5.56%"
"Mar 21, 2019","0.090","0.095","0.095","0.085","21.00K","0.00%"
"Mar 20, 2019","0.090","0.085","0.090","0.085","3.00K","0.00%"
"Mar 19, 2019","0.090","0.080","0.090","0.065","333.79K","12.50%"
"Mar 18, 2019","0.080","0.085","0.090","0.080","94.25K","-11.11%"
"Mar 15, 2019","0.090","0.095","0.100","0.090","104.86K","-14.29%"
"Mar 14, 2019","0.105","0.105","0.110","0.100","119.20K","0.00%"
"Mar 13, 2019","0.105","0.110","0.125","0.100","1.87M","-4.55%"
"Mar 12, 2019","0.110","0.100","0.110","0.100","508.28K","10.00%"
"Mar 11, 2019","0.100","0.100","0.105","0.100","50.51K","-4.76%"
"Mar 05, 2019","0.105","0.105","0.105","0.105","5.76K","0.00%"
"Mar 04, 2019","0.105","0.105","0.110","0.100","60.00K","-8.70%"
"Mar 01, 2019","0.115","0.090","0.120","0.090","170.00K","27.78%"
"Feb 28, 2019","0.090","0.090","0.090","0.090","61.50K","-14.29%"
"Feb 27, 2019","0.105","0.100","0.105","0.095","14.63K","5.00%"
"Feb 26, 2019","0.100","0.115","0.115","0.100","41.50K","0.00%"
"Feb 25, 2019","0.100","0.100","0.100","0.100","0.67K","0.00%"
"Feb 21, 2019","0.100","0.105","0.105","0.100","39.50K","-9.09%"
"Feb 20, 2019","0.110","0.100","0.110","0.100","5.01K","-4.35%"
"Feb 19, 2019","0.115","0.115","0.115","0.115","1.60K","0.00%"
"Feb 15, 2019","0.115","0.110","0.115","0.110","34.00K","9.52%"
"Feb 14, 2019","0.105","0.105","0.105","0.105","2.50K","-8.70%"
"Feb 13, 2019","0.115","0.105","0.115","0.105","24.00K","0.00%"
"Feb 12, 2019","0.115","0.130","0.130","0.115","25.50K","-11.54%"
"Feb 11, 2019","0.130","0.105","0.130","0.105","28.21K","13.04%"
"Feb 08, 2019","0.115","0.115","0.115","0.115","7.50K","0.00%"
"Feb 07, 2019","0.115","0.100","0.115","0.100","22.50K","0.00%"
"Feb 06, 2019","0.115","0.115","0.115","0.115","10.00K","4.55%"
"Feb 05, 2019","0.110","0.115","0.115","0.110","17.45K","0.00%"
"Feb 04, 2019","0.110","0.095","0.115","0.095","88.00K","10.00%"
"Feb 01, 2019","0.100","0.095","0.100","0.090","96.60K","11.11%"
"Jan 31, 2019","0.090","0.090","0.095","0.090","67.46K","-5.26%"
"Jan 30, 2019","0.095","0.095","0.095","0.095","311.00K","5.56%"
"Jan 29, 2019","0.090","0.095","0.100","0.085","114.00K","-5.26%"
"Jan 28, 2019","0.095","0.095","0.095","0.095","100.00K","0.00%"
"Jan 25, 2019","0.095","0.085","0.095","0.085","11.33K","0.00%"
"Jan 23, 2019","0.095","0.095","0.095","0.090","643.00K","0.00%"
"Jan 22, 2019","0.095","0.080","0.095","0.080","6.00K","5.56%"
"Jan 21, 2019","0.090","0.090","0.090","0.090","11.00K","5.88%"
"Jan 18, 2019","0.085","0.090","0.095","0.085","157.70K","6.25%"
"Jan 17, 2019","0.080","0.075","0.080","0.075","28.67K","6.67%"
"Jan 16, 2019","0.075","0.080","0.080","0.075","45.21K","-6.25%"
"Jan 15, 2019","0.080","0.085","0.085","0.080","18.00K","-11.11%"
"Jan 11, 2019","0.090","0.085","0.095","0.080","141.99K","0.00%"
"Jan 10, 2019","0.090","0.080","0.090","0.080","41.00K","12.50%"
"Jan 08, 2019","0.080","0.080","0.080","0.080","10.20K","0.00%"
"Jan 07, 2019","0.080","0.080","0.090","0.080","133.95K","6.67%"
"Jan 04, 2019","0.075","0.065","0.075","0.055","100.88K","7.14%"
"Jan 03, 2019","0.070","0.070","0.070","0.065","20.57K","0.00%"
"Jan 02, 2019","0.070","0.070","0.070","0.070","105.00K","7.69%"
"Dec 28, 2018","0.065","0.065","0.065","0.060","44.50K","8.33%"
"Dec 27, 2018","0.060","0.060","0.060","0.060","154.70K","-14.29%"
"Dec 24, 2018","0.070","0.065","0.070","0.060","32.14K","0.00%"
"Dec 21, 2018","0.070","0.070","0.075","0.065","347.71K","0.00%"
"Dec 20, 2018","0.070","0.070","0.080","0.070","588.55K","-12.50%"
"Dec 19, 2018","0.080","0.075","0.080","0.075","43.65K","14.29%"
"Dec 18, 2018","0.070","0.075","0.075","0.070","15.15K","0.00%"
"Dec 17, 2018","0.070","0.070","0.070","0.070","3.65K","-17.65%"
"Dec 13, 2018","0.085","0.080","0.085","0.070","252.00K","0.00%"
"Dec 12, 2018","0.085","0.075","0.085","0.070","66.01K","0.00%"
"Dec 11, 2018","0.085","0.085","0.085","0.075","43.20K","13.33%"
"Dec 10, 2018","0.075","0.095","0.095","0.075","43.06K","-21.05%"
"Dec 07, 2018","0.095","0.095","0.095","0.095","-","-5.00%"
"Dec 06, 2018","0.100","0.095","0.100","0.095","45.00K","5.26%"
"Dec 05, 2018","0.095","0.095","0.095","0.095","2.50K","-5.00%"
"Dec 04, 2018","0.100","0.100","0.100","0.100","12.00K","0.00%"
"Dec 03, 2018","0.100","0.090","0.100","0.080","53.00K","5.26%"
"Nov 30, 2018","0.095","0.090","0.095","0.090","37.00K","26.67%"
"Nov 28, 2018","0.075","0.070","0.080","0.070","69.00K","-11.76%"
"Nov 27, 2018","0.085","0.080","0.085","0.075","152.80K","6.25%"
"Nov 26, 2018","0.080","0.080","0.080","0.080","21.87K","0.00%"
"Nov 23, 2018","0.080","0.085","0.085","0.080","31.75K","-11.11%"
"Nov 22, 2018","0.090","0.090","0.100","0.090","45.80K","12.50%"
"Nov 20, 2018","0.080","0.090","0.090","0.080","11.00K","-11.11%"
"Nov 19, 2018","0.090","0.085","0.100","0.085","318.70K","-18.18%"
"Nov 16, 2018","0.110","0.085","0.110","0.085","37.50K","29.41%"
"Nov 15, 2018","0.085","0.085","0.085","0.085","7.50K","-22.73%"
"Nov 12, 2018","0.110","0.110","0.110","0.100","134.00K","0.00%"
"Nov 09, 2018","0.110","0.090","0.110","0.090","335.08K","22.22%"
"Nov 08, 2018","0.090","0.090","0.090","0.080","124.00K","0.00%"
"Nov 07, 2018","0.090","0.090","0.090","0.090","1.10K","0.00%"
"Nov 06, 2018","0.090","0.105","0.105","0.090","80.00K","-14.29%"
"Nov 05, 2018","0.105","0.100","0.105","0.100","14.00K","16.67%"
"Nov 02, 2018","0.090","0.115","0.115","0.090","83.80K","-18.18%"
"Nov 01, 2018","0.110","0.100","0.110","0.095","148.43K","10.00%"
"Oct 31, 2018","0.100","0.080","0.100","0.080","189.17K","33.33%"
"Oct 30, 2018","0.075","0.095","0.095","0.070","284.59K","-16.67%"
"Oct 29, 2018","0.090","0.100","0.100","0.090","7.50K","-10.00%"
"Oct 26, 2018","0.100","0.095","0.100","0.095","29.00K","0.00%"
"Oct 25, 2018","0.100","0.110","0.110","0.100","57.90K","0.00%"
"Oct 24, 2018","0.100","0.100","0.100","0.100","24.50K","-9.09%"
"Oct 23, 2018","0.110","0.105","0.110","0.100","36.89K","4.76%"
"Oct 22, 2018","0.105","0.105","0.105","0.105","1.65K","-4.55%"
"Oct 19, 2018","0.110","0.125","0.125","0.110","230.00K","-15.38%"
"Oct 18, 2018","0.130","0.115","0.150","0.110","226.14K","13.04%"
"Oct 17, 2018","0.115","0.120","0.130","0.115","135.09K","-11.54%"
"Oct 16, 2018","0.130","0.125","0.140","0.110","83.50K","8.33%"
"Oct 15, 2018","0.120","0.120","0.120","0.120","15.70K","-14.29%"
"Oct 12, 2018","0.140","0.115","0.140","0.115","56.15K","27.27%"
"Oct 11, 2018","0.110","0.135","0.145","0.110","136.00K","-15.38%"
"Oct 10, 2018","0.130","0.135","0.150","0.130","59.77K","0.00%"
"Oct 09, 2018","0.130","0.145","0.145","0.130","22.01K","-13.33%"
"Oct 04, 2018","0.150","0.145","0.150","0.140","84.42K","0.00%"
"Oct 03, 2018","0.150","0.155","0.155","0.150","10.50K","-3.23%"
"Oct 01, 2018","0.155","0.165","0.165","0.150","135.50K","-3.12%"
"Sep 28, 2018","0.160","0.165","0.165","0.150","91.10K","0.00%"
"Sep 27, 2018","0.160","0.150","0.160","0.135","56.32K","3.23%"
"Sep 26, 2018","0.155","0.150","0.155","0.140","35.84K","6.90%"
"Sep 25, 2018","0.145","0.130","0.150","0.125","62.00K","11.54%"
"Sep 24, 2018","0.130","0.150","0.150","0.130","44.52K","-10.34%"
"Sep 21, 2018","0.145","0.145","0.150","0.140","246.20K","0.00%"
"Sep 20, 2018","0.145","0.150","0.150","0.130","64.10K","-3.33%"
"Sep 19, 2018","0.150","0.160","0.165","0.150","108.48K","-6.25%"
"Sep 18, 2018","0.160","0.165","0.165","0.160","29.64K","-5.88%"
"Sep 17, 2018","0.170","0.170","0.170","0.160","45.90K","3.03%"
"Sep 14, 2018","0.165","0.180","0.180","0.160","65.50K","-5.71%"
"Sep 13, 2018","0.175","0.170","0.180","0.165","102.41K","9.38%"
"Sep 12, 2018","0.160","0.160","0.170","0.155","542.01K","0.00%"
"Sep 11, 2018","0.160","0.170","0.170","0.155","78.11K","0.00%"
"Sep 10, 2018","0.160","0.160","0.170","0.135","1.06M","10.34%"
"Sep 07, 2018","0.145","0.125","0.145","0.125","76.50K","16.00%"
"Sep 06, 2018","0.125","0.120","0.125","0.120","78.86K","4.17%"
"Sep 05, 2018","0.120","0.120","0.120","0.110","191.49K","0.00%"
"Sep 04, 2018","0.120","0.120","0.120","0.120","7.61K","9.09%"
"Aug 31, 2018","0.110","0.120","0.120","0.110","25.76K","-8.33%"
"Aug 30, 2018","0.120","0.115","0.120","0.110","113.50K","20.00%"
"Aug 29, 2018","0.100","0.115","0.115","0.100","264.17K","-9.09%"
"Aug 28, 2018","0.110","0.105","0.115","0.105","70.76K","4.76%"
"Aug 27, 2018","0.105","0.110","0.115","0.105","23.50K","-12.50%"
"Aug 24, 2018","0.120","0.120","0.120","0.110","93.56K","4.35%"
"Aug 23, 2018","0.115","0.115","0.125","0.105","417.80K","9.52%"
"Aug 22, 2018","0.105","0.100","0.110","0.100","104.20K","5.00%"
"Aug 21, 2018","0.100","0.100","0.100","0.100","30.00K","0.00%"
"Aug 20, 2018","0.100","0.085","0.100","0.085","56.50K","25.00%"
"Aug 17, 2018","0.080","0.085","0.085","0.080","183.79K","-11.11%"
"Aug 16, 2018","0.090","0.090","0.090","0.090","126.60K","5.88%"
"Aug 15, 2018","0.085","0.090","0.090","0.085","155.80K","-5.56%"
"Aug 14, 2018","0.090","0.095","0.115","0.090","98.14K","-5.26%"
"Aug 13, 2018","0.095","0.095","0.100","0.085","89.00K","-5.00%"
"Aug 10, 2018","0.100","0.100","0.100","0.095","144.08K","0.00%"
"Aug 09, 2018","0.100","0.110","0.110","0.100","90.20K","-13.04%"
"Aug 08, 2018","0.115","0.115","0.115","0.115","16.62K","-4.17%"
"Aug 07, 2018","0.120","0.120","0.120","0.120","8.53K","4.35%"
"Aug 03, 2018","0.115","0.120","0.120","0.115","10.00K","0.00%"
"Aug 02, 2018","0.115","0.110","0.115","0.110","7.50K","4.55%"
"Aug 01, 2018","0.110","0.115","0.115","0.110","183.40K","-4.35%"
"Jul 31, 2018","0.115","0.115","0.115","0.115","9.90K","-4.17%"
"Jul 30, 2018","0.120","0.120","0.120","0.120","36.00K","-7.69%"
"Jul 27, 2018","0.130","0.125","0.130","0.120","220.10K","0.00%"
"Jul 26, 2018","0.130","0.125","0.130","0.120","58.60K","4.00%"
"Jul 25, 2018","0.125","0.135","0.135","0.120","207.20K","-13.79%"
"Jul 24, 2018","0.145","0.160","0.160","0.135","12.17K","-6.45%"
"Jul 23, 2018","0.155","0.140","0.155","0.135","140.98K","10.71%"
"Jul 20, 2018","0.140","0.130","0.140","0.125","93.45K","3.70%"
"Jul 19, 2018","0.135","0.135","0.135","0.135","9.40K","12.50%"
"Jul 18, 2018","0.120","0.130","0.130","0.115","30.53K","-4.00%"
"Jul 17, 2018","0.125","0.120","0.135","0.115","31.10K","-10.71%"
"Jul 16, 2018","0.140","0.135","0.140","0.135","84.79K","3.70%"
"Jul 13, 2018","0.135","0.130","0.135","0.110","93.99K","3.85%"
"Jul 12, 2018","0.130","0.135","0.140","0.130","84.90K","-3.70%"
"Jul 11, 2018","0.135","0.135","0.135","0.135","13.13K","-3.57%"
"Jul 09, 2018","0.140","0.145","0.150","0.140","11.45K","-3.45%"
"Jul 06, 2018","0.145","0.145","0.145","0.140","35.70K","7.41%"
"Jul 05, 2018","0.135","0.135","0.135","0.135","2.50K","-6.90%"
"Jul 04, 2018","0.145","0.135","0.145","0.135","36.20K","0.00%"
"Jul 03, 2018","0.145","0.145","0.145","0.145","38.20K","7.41%"
"Jun 29, 2018","0.135","0.140","0.140","0.135","4.41K","-3.57%"
"Jun 28, 2018","0.140","0.150","0.150","0.140","7.00K","-6.67%"
"Jun 27, 2018","0.150","0.145","0.150","0.145","13.93K","7.14%"
"Jun 26, 2018","0.140","0.150","0.150","0.140","3.60K","-6.67%"
"Jun 25, 2018","0.150","0.145","0.150","0.140","37.99K","7.14%"
"Jun 22, 2018","0.140","0.140","0.150","0.135","330.90K","0.00%"
"Jun 21, 2018","0.140","0.135","0.140","0.135","33.71K","3.70%"
"Jun 20, 2018","0.135","0.150","0.150","0.135","9.93K","-10.00%"
"Jun 19, 2018","0.150","0.135","0.150","0.135","36.60K","3.45%"
"Jun 18, 2018","0.145","0.145","0.150","0.145","30.00K","-3.33%"
"Jun 15, 2018","0.150","0.150","0.150","0.150","10.50K","0.00%"
"Jun 14, 2018","0.150","0.150","0.150","0.145","34.10K","0.00%"
"Jun 13, 2018","0.150","0.145","0.150","0.145","25.00K","3.45%"
"Jun 12, 2018","0.145","0.160","0.160","0.145","117.30K","-9.38%"
"Jun 11, 2018","0.160","0.150","0.160","0.150","90.53K","0.00%"
"Jun 08, 2018","0.160","0.160","0.160","0.160","33.66K","3.23%"
"Jun 07, 2018","0.155","0.155","0.155","0.155","45.95K","-3.12%"
"Jun 06, 2018","0.160","0.155","0.160","0.155","19.51K","-3.03%"
"Jun 05, 2018","0.165","0.145","0.165","0.145","63.80K","6.45%"
"Jun 04, 2018","0.155","0.155","0.155","0.145","61.09K","0.00%"
"Jun 01, 2018","0.155","0.150","0.155","0.145","195.00K","3.33%"
"May 31, 2018","0.150","0.150","0.150","0.140","352.29K","3.45%"
"May 30, 2018","0.145","0.150","0.150","0.140","401.97K","3.57%"
"May 29, 2018","0.140","0.145","0.150","0.140","219.00K","-24.32%"
"May 28, 2018","0.185","0.165","0.185","0.160","67.20K","15.63%"
"May 25, 2018","0.160","0.155","0.160","0.150","155.90K","3.23%"
"May 24, 2018","0.155","0.155","0.155","0.145","155.00K","0.00%"
"May 23, 2018","0.155","0.155","0.155","0.125","110.00K","0.00%"
"May 22, 2018","0.155","0.155","0.155","0.150","253.50K","0.00%"
"May 18, 2018","0.155","0.155","0.155","0.155","92.51K","-8.82%"
"May 17, 2018","0.170","0.170","0.170","0.155","111.90K","6.25%"
"May 16, 2018","0.160","0.165","0.165","0.145","147.05K","-5.88%"
"May 15, 2018","0.170","0.145","0.170","0.145","192.85K","13.33%"
"May 14, 2018","0.150","0.170","0.170","0.150","150.50K","-11.76%"
"May 11, 2018","0.170","0.165","0.170","0.165","255.70K","-2.86%"
"May 10, 2018","0.175","0.175","0.175","0.175","30.29K","2.94%"
"May 09, 2018","0.170","0.175","0.180","0.160","351.00K","0.00%"
"May 08, 2018","0.170","0.170","0.170","0.165","8.20K","3.03%"
"May 07, 2018","0.165","0.175","0.175","0.165","37.43K","0.00%"
"May 04, 2018","0.165","0.185","0.185","0.165","96.19K","10.00%"
"May 03, 2018","0.150","0.180","0.185","0.150","71.26K","-18.92%"
"May 02, 2018","0.185","0.180","0.185","0.180","112.90K","-2.63%"
"May 01, 2018","0.190","0.185","0.200","0.180","95.65K","2.70%"
"Apr 30, 2018","0.185","0.175","0.185","0.145","48.33K","5.71%"
"Apr 27, 2018","0.175","0.170","0.175","0.160","120.30K","16.67%"
"Apr 26, 2018","0.150","0.170","0.180","0.150","120.57K","-14.29%"
"Apr 25, 2018","0.175","0.175","0.175","0.160","105.25K","0.00%"
"Apr 24, 2018","0.175","0.190","0.190","0.175","50.38K","-5.41%"
"Apr 23, 2018","0.185","0.195","0.200","0.185","17.17K","0.00%"
"Apr 20, 2018","0.185","0.200","0.200","0.185","55.90K","-2.63%"
"Apr 19, 2018","0.190","0.205","0.220","0.185","132.50K","-9.52%"
"Apr 18, 2018","0.210","0.180","0.210","0.180","116.60K","16.67%"
"Apr 16, 2018","0.180","0.195","0.195","0.180","19.69K","0.00%"
"Apr 13, 2018","0.180","0.185","0.185","0.180","18.18K","-10.00%"
"Apr 12, 2018","0.200","0.195","0.200","0.195","37.60K","8.11%"
"Apr 11, 2018","0.185","0.200","0.200","0.185","23.01K","-7.50%"
"Apr 10, 2018","0.200","0.205","0.205","0.185","17.80K","0.00%"
"Apr 09, 2018","0.200","0.210","0.210","0.200","41.79K","-2.44%"
"Apr 06, 2018","0.205","0.200","0.215","0.200","392.88K","10.81%"
"Apr 05, 2018","0.185","0.200","0.205","0.180","73.50K","5.71%"
"Apr 04, 2018","0.175","0.185","0.185","0.175","11.10K","-12.50%"
"Apr 03, 2018","0.200","0.190","0.200","0.180","83.66K","-4.76%"
"Apr 02, 2018","0.210","0.200","0.210","0.200","13.00K","5.00%"
"Mar 29, 2018","0.200","0.200","0.200","0.195","22.25K","0.00%"
"Mar 28, 2018","0.200","0.205","0.205","0.200","70.90K","-2.44%"
"Mar 27, 2018","0.205","0.200","0.220","0.200","347.00K","0.00%"
"Mar 26, 2018","0.205","0.200","0.205","0.190","97.20K","2.50%"
"Mar 23, 2018","0.200","0.185","0.200","0.180","168.62K","5.26%"
"Mar 22, 2018","0.190","0.200","0.200","0.190","42.90K","-5.00%"
"Mar 21, 2018","0.200","0.190","0.210","0.190","241.50K","8.11%"
